Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,M,
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,
2020,Број,Федерација Босне и Херцеговине,Гимназија,M,
2020,Број,Федерација Босне и Херцеговине,Техничке школе,M,
2020,Број,Федерација Босне и Херцеговине,Стручне школe,M,
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,M,
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,
2016,Број,Унско-сански кантон,Гимназија,M,
2016,Број,Унско-сански кантон,Техничке школе,M,
2016,Број,Унско-сански кантон,Стручне школe,M,
2016,Број,Унско-сански кантон,Умјетничке школе,M,
2016,Број,Унско-сански кантон,Вјерске школе,M,
2016,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Унско-сански кантон,Гимназија,M,
2017,Број,Унско-сански кантон,Техничке школе,M,
2017,Број,Унско-сански кантон,Стручне школe,M,
2017,Број,Унско-сански кантон,Умјетничке школе,M,
2017,Број,Унско-сански кантон,Вјерске школе,M,
2017,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Унско-сански кантон,Гимназија,M,
2018,Број,Унско-сански кантон,Техничке школе,M,
2018,Број,Унско-сански кантон,Стручне школe,M,
2018,Број,Унско-сански кантон,Умјетничке школе,M,
2018,Број,Унско-сански кантон,Вјерске школе,M,
2018,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Унско-сански кантон,Гимназија,M,
2019,Број,Унско-сански кантон,Техничке школе,M,
2019,Број,Унско-сански кантон,Стручне школe,M,
2019,Број,Унско-сански кантон,Умјетничке школе,M,
2019,Број,Унско-сански кантон,Вјерске школе,M,
2019,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Унско-сански кантон,Гимназија,M,
2020,Број,Унско-сански кантон,Техничке школе,M,
2020,Број,Унско-сански кантон,Стручне школe,M,
2020,Број,Унско-сански кантон,Умјетничке школе,M,
2020,Број,Унско-сански кантон,Вјерске школе,M,
2020,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Посавски кантон,Гимназија,M,
2016,Број,Посавски кантон,Техничке школе,M,
2016,Број,Посавски кантон,Стручне школe,M,
2016,Број,Посавски кантон,Умјетничке школе,M,
2016,Број,Посавски кантон,Вјерске школе,M,
2016,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Посавски кантон,Гимназија,M,
2017,Број,Посавски кантон,Техничке школе,M,
2017,Број,Посавски кантон,Стручне школe,M,
2017,Број,Посавски кантон,Умјетничке школе,M,
2017,Број,Посавски кантон,Вјерске школе,M,
2017,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Посавски кантон,Гимназија,M,
2018,Број,Посавски кантон,Техничке школе,M,
2018,Број,Посавски кантон,Стручне школe,M,
2018,Број,Посавски кантон,Умјетничке школе,M,
2018,Број,Посавски кантон,Вјерске школе,M,
2018,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Посавски кантон,Гимназија,M,
2019,Број,Посавски кантон,Техничке школе,M,
2019,Број,Посавски кантон,Стручне школe,M,
2019,Број,Посавски кантон,Умјетничке школе,M,
2019,Број,Посавски кантон,Вјерске школе,M,
2019,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Посавски кантон,Гимназија,M,
2020,Број,Посавски кантон,Техничке школе,M,
2020,Број,Посавски кантон,Стручне школe,M,
2020,Број,Посавски кантон,Умјетничке школе,M,
2020,Број,Посавски кантон,Вјерске школе,M,
2020,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Тузлански кантон,Гимназија,M,
2016,Број,Тузлански кантон,Техничке школе,M,
