Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2022,Broj,Kanton Sarajevo,Tehničke škole,6817
2022,Broj,Kanton Sarajevo,Stručne škole,1963
2022,Broj,Kanton Sarajevo,Umjetničke škole,299
2022,Broj,Kanton Sarajevo,Vjerske škole,460
2022,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,128
2023,Broj,Kanton Sarajevo,Gimnazija,5294
2023,Broj,Kanton Sarajevo,Tehničke škole,6859
2023,Broj,Kanton Sarajevo,Stručne škole,1938
2023,Broj,Kanton Sarajevo,Umjetničke škole,320
2023,Broj,Kanton Sarajevo,Vjerske škole,454
2023,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,143
2016,Broj,Kanton 10,Gimnazija,707
2016,Broj,Kanton 10,Tehničke škole,989
2016,Broj,Kanton 10,Stručne škole,340
2016,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,5
2017,Broj,Kanton 10,Gimnazija,674
2017,Broj,Kanton 10,Tehničke škole,962
2017,Broj,Kanton 10,Stručne škole,316
2017,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,5
2018,Broj,Kanton 10,Gimnazija,646
2018,Broj,Kanton 10,Tehničke škole,932
2018,Broj,Kanton 10,Stručne škole,332
2018,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,7
2019,Broj,Kanton 10,Gimnazija,670
2019,Broj,Kanton 10,Tehničke škole,1055
2019,Broj,Kanton 10,Stručne škole,326
2019,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,7
2020,Broj,Kanton 10,Gimnazija,664
2020,Broj,Kanton 10,Tehničke škole,1090
2020,Broj,Kanton 10,Stručne škole,284
2020,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,5
2021,Broj,Kanton 10,Gimnazija,633
2021,Broj,Kanton 10,Tehničke škole,1032
2021,Broj,Kanton 10,Stručne škole,279
2021,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,3
2022,Broj,Kanton 10,Gimnazija,607
2022,Broj,Kanton 10,Tehničke škole,961
2022,Broj,Kanton 10,Stručne škole,245
2022,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,4
